uuid,Void/Retire,Same as mappings,Fully specified name:en,Fully specified name:fr,Short name:en,Short name:fr,Description:en,Description:fr,Data class,Data type,Complex data handler,Answers,Members,Allow decimals,Units,Normal low,Normal high,Absolute low,Absolute high,_version:1,_order:1100
9ea362b1-72a2-4b5e-9bde-13572f37de56,,,Pregnancy + malnutrition,Grossesse + malnutrition,Pregnancy + malnutrition,Grossesse + malnutrition,,,Misc,N/A,,,,,,,,,,,
50e4eb00-968a-456f-824b-cbe320064dcf,,,Pregnancy below 18 years of age / above 36 years of age,Grossesse en bas de 18 ans / en haut de 36 ans,Pregnancy below 18 years of age / above 36 years of age,Grossesse en bas de 18 ans / en haut de 36 ans,,,Misc,N/A,,,,,,,,,,,
26c0366b-83e4-4401-9699-e545219b8870,,,Other,Autre,Other,Autre,,,Misc,N/A,,,,,,,,,,,
b35ad290-0d8f-4821-91fe-70b8411ce110,,,"If yes, why","Si oui, pourquoi ?","If yes, why","Si oui, pourquoi ?",,,Misc,Coded,,"If yes, Multiple pregnancy;Pregnancy + diabetes;Pregnancy + hypertension;Pregnancy + HIV / Syphilis;Pregnancy + obesity;Pregnancy + malnutrition;Pregnancy below 18 years of age / above 36 years of age;Other",,,,,,,,,
0ae11d29-2ba0-4bae-a2fe-47603a82df3d,,,Childbirth plan,Plan daccouchement,Childbirth plan,Plan daccouchement,,,Misc,Boolean,,,,,,,,,,,
4b9b9184-6aa8-4875-ab10-f22092a0075b,,,St Jean Limbe Hospital,Hopital St Jean Limbe,St Jean Limbe Hospital,Hopital St Jean Limbe,,,Misc,N/A,,,,,,,,,,,
1ff3db17-7a6f-40bf-8062-a912773e905c,,,Good Samaritan Limbe Hospital,Hopital Bon Samaritain Limbe,Good Samaritan Limbe Hospital,Hopital Bon Samaritain Limbe,,,Misc,N/A,,,,,,,,,,,
b0b1c920-02ba-47e7-93e5-9922e888aac0,,,Justinien Cap Haitien Hospital,Hopital Justinien Cap Haitien,Justinien Cap Haitien Hospital,Hopital Justinien Cap Haitien,,,Misc,N/A,,,,,,,,,,,
696114ce-8c7b-4018-a8d5-ee2e65d323d3,,,Sacred Heart Milot Hospital,Hopital Sacré Coeur Milot,Sacred Heart Milot Hospital,Hopital Sacré Coeur Milot,,,Misc,N/A,,,,,,,,,,,
50f4de56-b5b6-4939-aa73-7d7f5a5f8961,,,HBCH Hospital,Hopital HBCH,HBCH Hospital,Hopital HBCH,,,Misc,N/A,,,,,,,,,,,
57195bab-5935-4da4-b5de-e9ee1dba162e,,,Gable Hospital,Hopital de Pignon,Gable Hospital,Hopital de Pignon,,,Misc,N/A,,,,,,,,,,,
1c61317b-f7cf-4709-829c-76abb6f6501b,,,One-eyed Hospital,Hopital de Borgne,One-eyed Hospital,Hopital de Borgne,,,Misc,N/A,,,,,,,,,,,
6d1450bb-0109-456b-82f9-e495bcb5c959,,,Trou du Nord Hospital,Hopital de Trou du Nord,Trou du Nord Hospital,Hopital de Trou du Nord,,,Misc,N/A,,,,,,,,,,,
df9cc02b-b427-4262-b30a-7b973aef23fc,,,At home,À la maison,At home,À la maison,,,Misc,N/A,,,,,,,,,,,
26c0366b-83e4-4401-9699-e545219b8870,,,Other,Autre,Other,Autre,,,Misc,N/A,,,,,,,,,,,
6ef80ed0-2102-45d3-a188-ad57c16263dc,,,Where the patient plans to give birth,Où la patiente prévoit elle accoucher?,Where the patient plans to give birth,Où la patiente prévoit elle accoucher?,,,Misc,Coded,,St Jean Limbe Hospital;Good Samaritan Limbe Hospital;Justinien Cap Haitien Hospital;Sacred Heart Milot Hospital;HBCH Hospital;Gable Hospital;One-eyed Hospital;Trou du Nord Hospital;At home;Other,,,,,,,,,
96129acc-86f4-409b-7bf7-db0934278b4a,,,Prenatal consultation form,Formulaire de Consultation prenatale,Prenatal consultation form,Formulaire de Consultation prenatale,,,ConvSet,N/A,,,"Visit;First pregnancy;Number of previous pregnancies;Childbirth during the last pregnancy;Places of delivery of the last pregnancy;If other, where;Date of most recent pregnancy delivery;Complications during the most recent delivery;If yes describe the complications;Number of living children;Date of last period;Expected delivery date;Pregnancy age in weeks;Uterine height;Presentation;Fetal heart rate;Multiple pregnancy;Symptoms;If other;Physical examination notes;HIV;Syphilis prenatal;Risk pregnancy;If yes, why;Childbirth plan;Where the patient plans to give birth",,,,,,,,
